,ts,side,price,quantity
0,1619199474119086,buy,1656.3835483870969,4.0878000000000005
1,1619199474315213,sell,1656.3832258064515,0.0458999999999999
2,1619199474315441,sell,1656.3558064516128,0.05724
3,1619199474315448,sell,1656.354838709677,0.54
4,1619199474315449,sell,1656.354838709677,0.77274
5,1619199474315806,sell,1656.354838709677,0.027
6,1619199474424878,sell,1656.354838709677,0.02268
7,1619199474424882,sell,1656.354838709677,0.11448
8,1619199474424883,sell,1656.354838709677,0.1776599999999999
9,1619199474424884,sell,1656.354838709677,7.696619999999999
10,1619199474424885,sell,1656.354838709677,0.21492
11,1619199474424886,sell,1656.354838709677,5.4
12,1619199474424886,sell,1656.354838709677,0.027
13,1619199474424887,sell,1656.354838709677,0.57294
14,1619199474424888,sell,1656.354838709677,0.27
15,1619199474424888,sell,1656.354838709677,0.02322
16,1619199474424889,sell,1656.354838709677,0.27
17,1619199474424889,sell,1656.354838709677,21.88512
18,1619199474424890,sell,1656.354838709677,0.57294
19,1619199474424890,sell,1656.354838709677,1.04328
20,1619199474424891,sell,1656.354838709677,0.73278
21,1619199474424891,sell,1656.354838709677,0.02268
22,1619199474424948,sell,1656.354838709677,23.0499
23,1619199474658019,buy,1656.3551612903227,0.0599399999999999
24,1619199474658856,sell,1656.354838709677,1.65834
25,1619199474658858,sell,1656.354838709677,5.03496
26,1619199474658858,sell,1656.354838709677,0.22896
27,1619199474658859,sell,1656.354838709677,0.0216
28,1619199474658859,sell,1656.354838709677,0.5508000000000001
29,1619199474658860,sell,1656.354838709677,0.1776599999999999
30,1619199474658861,sell,1656.354838709677,0.22464
31,1619199474658861,sell,1656.354838709677,0.11448
32,1619199474658862,sell,1656.354838709677,0.0135
33,1619199474658863,sell,1656.354838709677,0.34236
34,1619199474658864,sell,1656.354838709677,0.0378
35,1619199474658864,sell,1656.354838709677,0.0739799999999999
36,1619199474658865,sell,1656.354838709677,3.78
37,1619199474658865,sell,1656.354838709677,0.027
38,1619199474658866,sell,1656.354838709677,0.92664
39,1619199474658867,sell,1656.354838709677,0.7641
40,1619199474658867,sell,1656.354838709677,0.57294
41,1619199474658869,sell,1656.354838709677,0.13068
42,1619199474658869,sell,1656.354838709677,1.0314
43,1619199474658870,sell,1656.354838709677,0.12528
44,1619199474658870,sell,1656.354838709677,2.97
45,1619199474658871,sell,1656.354838709677,0.39906
46,1619199474658872,sell,1656.3545161290322,0.44928
47,1619199474658872,sell,1656.333870967742,0.03186
48,1619199474658941,buy,1656.3032258064516,0.05346
49,1619199474658942,sell,1656.3029032258064,0.02538
50,1619199474658943,sell,1656.2596774193548,0.02268
51,1619199474658943,sell,1656.2551612903228,0.02268
52,1619199474658949,sell,1656.2396774193548,0.0243
53,1619199474658951,sell,1656.2293548387097,0.56808
54,1619199474658952,sell,1656.2196774193549,0.02268
55,1619199474658954,sell,1656.2193548387097,0.08586
56,1619199474658954,sell,1656.201612903226,0.02268
57,1619199474658955,sell,1656.1990322580646,0.28674
58,1619199474682458,sell,1656.0851612903225,1.61892
59,1619199474683057,sell,1656.0851612903225,4.03488
60,1619199474696564,buy,1656.1151612903225,0.01566
61,1619199474723438,buy,1656.0764516129034,0.1215
62,1619199474758861,buy,1656.0764516129034,0.10314
63,1619199474841071,buy,1656.297741935484,1.16586
64,1619199474861978,buy,1656.297741935484,0.01188
65,1619199474919096,sell,1656.198064516129,0.0566999999999999
66,1619199474976930,buy,1656.1983870967742,0.0124199999999999
67,1619199475111191,buy,1656.1983870967742,0.05346
68,1619199475113205,buy,1656.1983870967742,0.22896
69,1619199475135623,buy,1656.1983870967742,0.19386
70,1619199475222942,buy,1656.1983870967742,0.11718
71,1619199475313774,sell,1656.198064516129,1.0233
72,1619199475315842,sell,1656.198064516129,1.1880000000000002
73,1619199475318878,sell,1656.198064516129,2.27502
74,1619199475336845,sell,1656.198064516129,0.1674
75,1619199475355032,sell,1656.198064516129,0.28674
76,1619199475358778,sell,1656.198064516129,2.79072
77,1619199475361119,sell,1656.198064516129,4.1860800000000005
78,1619199475364247,sell,1656.198064516129,0.15822
79,1619199475365987,sell,1656.198064516129,2.17566
80,1619199475365987,sell,1656.198064516129,2.01042
81,1619199475383498,sell,1656.198064516129,0.08154
82,1619199475391664,buy,1656.1983870967742,0.46062
83,1619199475431632,sell,1656.198064516129,0.2365199999999999
84,1619199475434131,buy,1656.1983870967742,0.4104
85,1619199475586962,buy,1656.1983870967742,0.1020599999999999
86,1619199475600638,sell,1656.198064516129,0.21114
87,1619199475608444,buy,1656.1983870967742,0.14256
88,1619199475611359,sell,1656.198064516129,0.4568399999999999
89,1619199475612867,buy,1656.1983870967742,0.04482
90,1619199475671455,buy,1656.1983870967742,0.2133
91,1619199475675337,buy,1656.1983870967742,0.12852
92,1619199475724920,buy,1656.1983870967742,0.06912
93,1619199475726650,sell,1656.198064516129,6.594480000000001
94,1619199475726809,sell,1656.085806451613,5.61978
95,1619199475727072,sell,1656.085483870968,0.97146
96,1619199475727083,sell,1656.0764516129034,0.01728
97,1619199475727083,sell,1656.076129032258,5.4
98,1619199475727084,sell,1656.0725806451612,0.18144
99,1619199475727434,sell,1656.0709677419354,0.0351
100,1619199475727435,sell,1656.063870967742,0.0766799999999999
101,1619199475727435,sell,1656.042258064516,0.02268
102,1619199475727436,sell,1656.032258064516,1.1464200000000002
103,1619199475727436,sell,1656.0148387096774,0.0729
104,1619199475727597,sell,1656.0148387096774,10.3194
105,1619199475727916,sell,1655.988064516129,0.0378
106,1619199475727926,sell,1655.9870967741936,0.02268
107,1619199475727927,sell,1655.976129032258,0.10638
108,1619199475728473,sell,1655.9364516129033,7.95798
109,1619199475728484,sell,1655.8825806451614,0.01728
110,1619199475728484,sell,1655.851612903226,0.03402
111,1619199475728485,sell,1655.8406451612902,1.35
112,1619199475729052,sell,1655.8170967741935,0.1798199999999999
113,1619199475729515,sell,1655.8148387096776,0.04428
114,1619199475729526,sell,1655.7696774193548,5.357340000000001
115,1619199475729527,sell,1655.7593548387097,0.28674
116,1619199475729528,sell,1655.7132258064516,13.4433
117,1619199475729790,sell,1656.061935483871,0.03402
118,1619199475732035,buy,1655.8709677419354,0.1290599999999999
119,1619199475740077,buy,1655.8709677419354,0.18144
120,1619199475758243,buy,1656.1974193548388,0.135
121,1619199475805353,sell,1656.1954838709676,6.301260000000001
122,1619199475816103,buy,1656.195806451613,0.4535999999999999
123,1619199475831339,buy,1656.195806451613,0.86346
124,1619199475930353,buy,1656.1954838709676,0.25164
125,1619199475979367,buy,1656.1954838709676,0.486
